Date,Open,High,Low,Close,Adj Close,Volume
2010-07-06,31396.210938,31989.800781,31343.009766,31533.580078,31533.580078,158454100
2010-07-07,31519.810547,32042.230469,31502.830078,32035.189453,32035.189453,149317900
2010-07-08,32035.169922,32171.570313,31733.609375,31960.640625,31960.640625,141505100
2010-07-09,31961.220703,32107.560547,31784.070313,32004.310547,32004.310547,104119400
2010-07-12,32037.439453,32116.410156,31788.230469,31870.550781,31870.550781,84430000
2010-07-13,31871.560547,32251.050781,31871.560547,32185.199219,32185.199219,143620800
2010-07-14,32185.400391,32385.009766,32101.490234,32305.710938,32305.710938,143231900
2010-07-15,32305.300781,32387.169922,32114.609375,32381.060547,32381.060547,120083700
2010-07-16,32382.490234,32383.750000,31736.130859,31783.390625,31783.390625,122753500
2010-07-19,31803.820313,32005.669922,31785.220703,31845.880859,31845.880859,85016600
2010-07-20,31843.339844,32025.179688,31613.550781,32024.269531,32024.269531,109342000
2010-07-21,32024.619141,32318.330078,32001.949219,32108.990234,32108.990234,151882000
2010-07-22,32135.189453,32720.759766,32135.189453,32720.759766,32720.759766,166472600
2010-07-23,32721.019531,32818.480469,32510.490234,32806.031250,32806.031250,164283600
2010-07-26,32814.980469,33041.378906,32803.621094,32958.890625,32958.890625,146615700
2010-07-27,32959.890625,33043.570313,32643.199219,32695.310547,32695.310547,170666900
2010-07-28,32694.640625,32744.619141,32500.029297,32665.560547,32665.560547,177610400
2010-07-29,32666.160156,32802.300781,32408.119141,32463.720703,32463.720703,178377600
2010-07-30,32450.460938,32454.929688,32198.339844,32308.740234,32308.740234,342781000
2010-08-02,32308.880859,32819.730469,32308.880859,32816.519531,32816.519531,205933500
2010-08-03,32808.808594,32862.058594,32613.650391,32768.078125,32768.078125,143955600
2010-08-04,32767.220703,32975.679688,32749.109375,32900.480469,32900.480469,144999700
2010-08-05,32900.191406,32961.921875,32793.640625,32907.191406,32907.191406,132091400
2010-08-06,32900.480469,32956.621094,32753.300781,32917.921875,32917.921875,129098200
2010-08-09,32918.359375,33022.089844,32802.511719,32837.570313,32837.570313,101037500
2010-08-10,32837.320313,32837.320313,32518.699219,32685.519531,32685.519531,149397800
2010-08-11,32684.869141,32684.869141,32055.349609,32058.570313,32058.570313,162204300
2010-08-12,32058.039063,32106.980469,31830.650391,32041.130859,32041.130859,132257400
2010-08-13,32044.750000,32154.220703,32025.630859,32099.750000,32099.750000,98486800
2010-08-16,32091.699219,32135.550781,31785.060547,32119.880859,32119.880859,101139600
2010-08-17,32122.390625,32435.109375,32119.099609,32286.080078,32286.080078,149561000
2010-08-18,32288.039063,32414.630859,32164.240234,32408.300781,32408.300781,165011300
2010-08-19,32408.449219,32421.199219,31972.119141,32153.630859,32153.630859,137762500
2010-08-20,32132.220703,32291.830078,32016.660156,32291.669922,32291.669922,82794800
2010-08-23,32295.570313,32404.519531,32105.929688,32142.669922,32142.669922,113470800
2010-08-24,32136.369141,32136.369141,31361.330078,31364.890625,31364.890625,239867000
2010-08-25,31366.630859,31463.500000,30916.050781,31453.720703,31453.720703,232616300
2010-08-26,31472.210938,31633.789063,31172.720703,31217.990234,31217.990234,162801900
2010-08-27,31238.609375,31757.029297,31237.800781,31755.349609,31755.349609,153247800
2010-08-30,31746.759766,31815.789063,31374.070313,31382.669922,31382.669922,109679400
2010-08-31,31381.390625,31692.099609,31361.929688,31679.849609,31679.849609,414447100
2010-09-01,31680.589844,32385.509766,31680.589844,32339.230469,32339.230469,231942400
2010-09-02,32339.910156,32538.529297,32270.230469,32417.330078,32417.330078,132121800
2010-09-03,32420.339844,32871.371094,32420.310547,32592.869141,32592.869141,136547200
2010-09-06,32592.970703,32754.060547,32549.689453,32746.669922,32746.669922,45257000
2010-09-07,32744.089844,32744.089844,32418.789063,32448.400391,32448.400391,141376800
2010-09-08,32452.220703,32561.380859,32409.599609,32409.599609,32409.599609,188211500
2010-09-09,32409.529297,32606.900391,32409.529297,32518.980469,32518.980469,143405500
2010-09-10,32519.300781,32631.390625,32451.169922,32626.869141,32626.869141,106885500
2010-09-13,32628.279297,33098.878906,32628.279297,32921.628906,32921.628906,144499300
2010-09-14,32921.531250,33097.031250,32771.019531,33058.000000,33058.000000,147295900
2010-09-15,33054.621094,33059.878906,32887.421875,33046.691406,33046.691406,178080500
2010-09-20,33057.011719,33288.421875,32973.050781,33273.531250,33273.531250,198838700
2010-09-21,33273.910156,33396.210938,33199.308594,33296.691406,33296.691406,169355600
2010-09-22,33296.628906,33301.171875,33126.648438,33207.210938,33207.210938,146618700
2010-09-23,33205.500000,33338.328125,32885.019531,33091.128906,33091.128906,136437900
2010-09-24,33097.000000,33439.511719,33097.000000,33280.750000,33280.750000,184276400
2010-09-27,33279.820313,33305.371094,33111.671875,33122.441406,33122.441406,129270700
2010-09-28,33124.691406,33275.460938,32969.968750,33258.531250,33258.531250,140590400
2010-09-29,33259.871094,33334.878906,33128.980469,33186.761719,33186.761719,133945500
2010-09-30,33187.511719,33530.828125,33052.488281,33330.339844,33330.339844,219404500
2010-10-01,33332.210938,33812.308594,33332.050781,33807.480469,33807.480469,203298200
2010-10-04,33807.718750,34156.761719,33791.160156,34040.171875,34040.171875,288198900
2010-10-05,34040.539063,34364.449219,34004.628906,34257.398438,34257.398438,215039400
2010-10-06,34258.261719,34415.800781,34217.968750,34370.640625,34370.640625,144740900
2010-10-07,34371.289063,34442.968750,34214.238281,34257.808594,34257.808594,157288300
2010-10-08,34258.570313,34472.828125,34153.750000,34464.820313,34464.820313,128116300
2010-10-11,34465.078125,34650.589844,34255.230469,34465.410156,34465.410156,149256500
2010-10-12,34464.171875,34464.171875,34186.089844,34437.390625,34437.390625,169334700
2010-10-13,34444.828125,34902.941406,34444.828125,34798.648438,34798.648438,227711800
2010-10-14,34796.949219,34992.519531,34756.679688,34836.500000,34836.500000,186540400
2010-10-15,34838.988281,34931.699219,34545.898438,34741.539063,34741.539063,181975800
2010-10-18,34748.308594,34920.609375,34680.761719,34919.308594,34919.308594,145266500
2010-10-19,34918.929688,34918.929688,34452.011719,34452.210938,34452.210938,131788000
2010-10-20,34462.128906,34901.300781,34449.789063,34880.468750,34880.468750,200409200
2010-10-21,34894.019531,35236.359375,34835.699219,34965.250000,34965.250000,187301900
2010-10-22,34966.460938,35166.261719,34864.640625,35120.878906,35120.878906,126190100
2010-10-25,35123.339844,35429.230469,35073.191406,35262.890625,35262.890625,120323400
2010-10-26,35264.261719,35401.148438,35132.648438,35373.390625,35373.390625,225974300
2010-10-27,35380.750000,35384.128906,35021.980469,35262.898438,35262.898438,165440900
2010-10-28,35259.921875,35547.421875,35229.300781,35376.718750,35376.718750,266584100
2010-10-29,35400.359375,35630.101563,35304.230469,35568.218750,35568.218750,229229300
2010-11-01,35573.718750,35885.648438,35551.281250,35722.710938,35722.710938,132328100
2010-11-03,35722.828125,35998.011719,35716.718750,35843.808594,35843.808594,215073000
2010-11-04,35844.660156,36322.519531,35844.660156,36198.601563,36198.601563,246338500
2010-11-05,36198.601563,36376.070313,36133.078125,36317.511719,36317.511719,122468300
2010-11-08,36317.511719,36543.390625,36130.148438,36543.390625,36543.390625,135850400
2010-11-09,36543.390625,36813.988281,36188.679688,36198.031250,36198.031250,194750200
2010-11-10,36198.031250,36534.531250,36003.390625,36417.468750,36417.468750,191718400
2010-11-11,36417.140625,36421.960938,36219.769531,36304.539063,36304.539063,123063000
2010-11-12,36304.671875,36307.070313,35966.449219,36057.390625,36057.390625,134918600
2010-11-16,36057.328125,36057.328125,35606.281250,35648.210938,35648.210938,164076000
2010-11-17,35645.441406,35867.070313,35620.488281,35842.480469,35842.480469,252577600
2010-11-18,35844.671875,36322.121094,35844.671875,36322.121094,36322.121094,155870700
2010-11-19,36321.210938,36601.468750,36185.128906,36601.398438,36601.398438,141508400
2010-11-22,36601.949219,36710.738281,36411.968750,36710.460938,36710.460938,164020700
